date,total_value,cash,qqq_val,tqqq_val,qqq_qty,tqqq_qty
2016-01-21,88563.63110473406,88563.63110473406,0.0,0.0,0,0
2016-01-22,88563.63110473406,88563.63110473406,0.0,0.0,0,0
2016-01-25,88563.63110473406,88563.63110473406,0.0,0.0,0,0
2016-01-26,88563.63110473406,88563.63110473406,0.0,0.0,0,0
2016-01-27,88563.63110473406,88563.63110473406,0.0,0.0,0,0
2016-01-28,88563.63110473406,88563.63110473406,0.0,0.0,0,0
2016-01-29,88563.63110473406,88563.63110473406,0.0,0.0,0,0
2016-02-01,88563.63110473406,88563.63110473406,0.0,0.0,0,0
2016-02-02,88563.63110473406,88563.63110473406,0.0,0.0,0,0
2016-02-03,88563.63110473406,88563.63110473406,0.0,0.0,0,0
2016-02-04,88563.63110473406,88563.63110473406,0.0,0.0,0,0
2016-02-05,88563.63110473406,88563.63110473406,0.0,0.0,0,0
2016-02-08,88563.63110473406,88563.63110473406,0.0,0.0,0,0
2016-02-09,88563.63110473406,88563.63110473406,0.0,0.0,0,0
2016-02-10,88563.63110473406,88563.63110473406,0.0,0.0,0,0
2016-02-11,88563.63110473406,88563.63110473406,0.0,0.0,0,0
2016-02-12,88563.63110473406,88563.63110473406,0.0,0.0,0,0
2016-02-16,88563.63110473406,88563.63110473406,0.0,0.0,0,0
2016-02-17,88475.93223549656,798.9822354965581,0.0,87676.95,0,49535
2016-02-18,85503.83223549655,798.9822354965581,0.0,84704.84999999999,0,49535
2016-02-19,86494.53223549656,798.9822354965581,0.0,85695.55,0,49535
2016-02-22,90457.33223549656,798.9822354965581,0.0,89658.35,0,49535
2016-02-23,85999.18223549656,798.9822354965581,0.0,85200.2,0,49535
2016-02-24,88475.93223549656,798.9822354965581,0.0,87676.95,0,49535
2016-02-25,90952.68223549656,798.9822354965581,0.0,90153.7,0,49535
2016-02-26,90457.33223549656,798.9822354965581,0.0,89658.35,0,49535
2016-02-29,88475.93223549656,798.9822354965581,0.0,87676.95,0,49535
